Flow Discharge (m3/s),WSE (m),Depth (m)
0.499640648735308,733.354067642428,0.0908840486777056
0.499640649143717,733.354067642472,0.090884048722274
0.499640649685445,733.354067642532,0.0908840487816426
0.499640650365459,733.354067642606,0.0908840488558641
0.499640650941016,733.354067642668,0.090884048918462
0.499640651278983,733.354067642705,0.0908840489550806
0.49964065146732,733.354067642726,0.0908840489756543
0.499640651941394,733.354067642778,0.0908840490280214
0.499640653121424,733.354067642908,0.0908840491576331
0.499640654821958,733.354067643093,0.0908840493434686
0.499640656386802,733.354067643264,0.0908840495137279
0.499640657259651,733.354067643358,0.09088404960808
0.499640657421211,733.354067643375,0.0908840496251931
0.499640657367041,733.354067643369,0.0908840496192493
0.499640657379778,733.354067643371,0.0908840496206811
0.49964065726833,733.354067643358,0.090884049608274
0.499640657006035,733.35406764333,0.0908840495795695
0.499640656782005,733.354067643305,0.0908840495552747
0.499640656823478,733.35406764331,0.0908840495602605
0.499640657544966,733.35406764339,0.0908840496400306
0.499640659238276,733.354067643576,0.0908840498258874
0.499640661650225,733.35406764384,0.0908840500896018
0.499640664134596,733.35406764411,0.0908840503604022
0.499640665985386,733.354067644311,0.090884050561444
0.499640667054682,733.354067644427,0.0908840506774854
0.499640667768773,733.354067644505,0.0908840507552411
0.499640668344811,733.354067644568,0.0908840508179
0.499640668655212,733.354067644601,0.0908840508514198
0.499640668664068,733.354067644602,0.0908840508521484
0.499640668635997,733.354067644599,0.0908840508492899
0.499640669007859,733.354067644641,0.0908840508905296
0.499640670005782,733.35406764475,0.0908840510000655
0.499640671354153,733.354067644897,0.0908840511473473
0.499640672705404,733.354067645045,0.0908840512947793
0.499640674221363,733.354067645211,0.0908840514609407
0.499640677894715,733.354067645617,0.0908840518671428
0.499640693473318,733.354067647343,0.0908840535931928
0.499640757597246,733.354067654436,0.0908840606864525
0.499640975850928,733.35406767853,0.0908840847795963
0.499641583601411,733.354067745488,0.0908841517384371
0.49964299443908,733.35406790066,0.0908843069095772
0.499645790554423,733.354068207733,0.0908846139835017
0.499650629098322,733.354068738433,0.0908851446826894
0.499658085807093,733.354069555404,0.0908859616541999
0.499668497716401,733.354070695091,0.090887101341228
0.499681868732674,733.354072157523,0.0908885637726647
0.499697867610171,733.354073906196,0.0908903124458917
0.499715872496074,733.354075873008,0.0908922792580097
0.499735218030871,733.354077985258,0.0908943915084572
0.499755124926008,733.354080157928,0.0908965641784487
0.499774915313081,733.354082317158,0.0908987234085378
0.499794038008854,733.354084402959,0.0909008092091631
0.499812089867038,733.354086371509,0.0909027777586177
0.499828818348435,733.354088195423,0.0909046016725613
0.499844128948814,733.354089864584,0.0909062708338805
0.499858122408732,733.354091390244,0.0909077964936004
0.499871164371234,733.354092812641,0.0909092188912354
0.499883940672223,733.354094206975,0.090910613225295
0.499897412525243,733.354095678356,0.0909120846054855
0.499912616776198,733.354097339837,0.0909137460867651
0.499930322737926,733.35409927491,0.0909156811599982
0.499950874412075,733.354101520422,0.0909179266723309
0.499973882198967,733.354104033137,0.090920439387479
0.499998428480382,733.354106712419,0.0909231186694803
0.500023286444855,733.354109424228,0.0909258304780081
0.500047214159909,733.354112033195,0.09092843944508
0.500069192363113,733.354114428465,0.0909308347146081
0.500088552144592,733.354116537488,0.0909329437375962
0.50010499252675,733.354118327828,0.0909347340782128
0.500118521533622,733.354119800669,0.0909362069193047
0.5001293628057,733.354120980605,0.0909373868549865
0.500137861297816,733.354121905364,0.0909383116141193
0.500144406228902,733.354122617429,0.0909390236787171
0.500149369778539,733.354123157375,0.0909395636254335
0.500153107772043,733.354123563965,0.0909399702144972
0.500155895918944,733.354123867216,0.0909402734664692
0.500157965072725,733.354124092258,0.0909404985080985
0.500159496577721,733.354124258822,0.0909406650722066
0.500160629781715,733.354124382069,0.0909407883185339
0.500161469562552,733.354124473404,0.0909408796543389
0.500162093462581,733.354124541262,0.0909409475124542
0.500162558239306,733.354124591815,0.0909409980650344
0.500162905507571,733.354124629588,0.0909410358378045
0.500163165986758,733.354124657922,0.090941064171664
