Flow Discharge (m3/s),WSE (m),Depth (m)
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318359375,0
0,733.26318362328,2.9529865292831e-08
0.00555527611674757,733.269314096299,0.0061305025493713
0.0122579997156684,733.273013977844,0.00983038409360378
0.0146496254837387,733.274120060695,0.0109364669450514
0.0157861585828027,733.274620306101,0.0114367123507371
0.016381103488504,733.274876469512,0.0116928757621405
0.016714945641753,733.275018610121,0.0118350163713612
0.0169149883897743,733.275103255648,0.0119196618975824
0.017041991511835,733.275156796673,0.0119732029227487
0.017126407900323,733.275192300582,0.0120087068318422
0.0171844307289642,733.275216665501,0.0120330717514012
0.0172252496653029,733.275233787517,0.0120501937674552
0.0172544192422004,733.27524601363,0.0120624198797246
0.0172754530909091,733.275254824856,0.0120712311057601
0.017290781701373,733.275261243537,0.0120776497866045
0.0173019844277448,733.275265933173,0.0120823394229633
0.0173101999276676,733.27526937157,0.0120857778201102
0.0173162396485267,733.275271898949,0.0120883051990255
0.0173206879052126,733.275273760149,0.0120901663986267
0.0173239685285268,733.27527513268,0.0120915389303753
0.0173263905388069,733.275276145926,0.0120925521759213
0.0173281800966498,733.275276894551,0.0120933008009553
0.0173295031843536,733.275277448019,0.0120938542688832
0.0173304818765507,733.275277857411,0.0120942636605608
0.017331206100525,733.275278160351,0.0120945666013486
0.0173317421854566,733.275278384591,0.0120947908410975
0.0173321385138888,733.27527855037,0.0120949566201968
0.0173324326220557,733.275278673391,0.0120950796410532
0.0173326509234096,733.275278764705,0.0120951709546965
0.0173328185744119,733.275278834852,0.0120952411023755
0.0173329875731215,733.275278905688,0.0120953119377089
0.017333344263128,733.275279055589,0.0120954618385876
0.0173349848475194,733.275279746918,0.0120961531677356
0.0173491430182449,733.275285715773,0.0121021220231144
0.017446432075573,733.275326614462,0.0121430207122257
0.0178524187642887,733.275496044064,0.0123124503140061
0.0189482297018258,733.275945243515,0.0127616497648939
0.0209749428371812,733.276748588436,0.0135649946856791
0.0236495634958185,733.277761603305,0.0145780095546277
0.0263442061950502,733.278736011917,0.0155524181669684
0.0286241655390843,733.279529272047,0.0163456782969993
0.030363325067001,733.28011731316,0.0169337194103916
0.03162332563004,733.280534894989,0.0173513012386558
0.0325158029057028,733.280826639078,0.017643045327805
0.0331433303491145,733.28102985453,0.0178462607795782
0.0335845298438871,733.281171810413,0.0179882166628521
0.0338956336795364,733.281271461039,0.0180878672885597
0.0341158367331035,733.281341774883,0.0181581811333597
0.0342722783289767,733.281391619193,0.0182080254430971
0.0343837832735157,733.281427090958,0.0182434972082195
0.0344634807282859,733.281452416279,0.0182688225288612
0.0345230325658709,733.281471341421,0.0182877476714808
0.0346947524494982,733.281526390878,0.0183427971277117
0.0365243830240348,733.28210571895,0.0189221252001035
0.0465012518940064,733.285071110448,0.0218875166977991
0.0684544733227657,733.290789854362,0.0276062606120971
0.092007512121684,733.296140055715,0.0329564619645374
0.113343052878208,733.300527244791,0.0373436510409857
0.133371480224306,733.304352406766,0.0411688130162642
0.150828234541176,733.307499686076,0.04431609232549
0.164268511426022,733.309822536748,0.0466389429983027
0.173691938382708,733.311405145855,0.0482215521049306
0.179940236557504,733.312435272216,0.0492516784664289
0.18395349681932,733.313089253483,0.0499056597328784
0.186488028263227,733.313499292674,0.0503156989236912
0.188084068111484,733.313756373107,0.0505727793568221
0.189123155833747,733.313923343039,0.0507397492892731
