Time [min] or Date,Flow Discharge (m3/s)_1,Flow Discharge (m3/s)_2,Flow Discharge (m3/s)_3,Flow Discharge (m3/s)_4,Flow Discharge (m3/s)_5,Flow Discharge (m3/s)_6,Flow Discharge (m3/s)_7,Flow Discharge (m3/s)_8,Flow Discharge (m3/s)_9,Flow Discharge (m3/s)_10,Flow Discharge (m3/s)_11,Flow Discharge (m3/s)_12,Flow Discharge (m3/s)_13,WSE (m)_1,WSE (m)_2,WSE (m)_3,WSE (m)_4,WSE (m)_5,WSE (m)_6,WSE (m)_7,WSE (m)_8,WSE (m)_9,WSE (m)_10,WSE (m)_11,WSE (m)_12,WSE (m)_13,Water Depth (m)_1,Water Depth (m)_2,Water Depth (m)_3,Water Depth (m)_4,Water Depth (m)_5,Water Depth (m)_6,Water Depth (m)_7,Water Depth (m)_8,Water Depth (m)_9,Water Depth (m)_10,Water Depth (m)_11,Water Depth (m)_12,Water Depth (m)_13
03-Jul-2025 00:00:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:16:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:26:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:31:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:36:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:41:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:51:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 00:56:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 01:01:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 01:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 01:11:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
03-Jul-2025 01:16:01,0,0,0,0,0,0,0,0,0,0,0,0,0,554.242797851562,533.092407226562,579.95263671875,500.779632568359,490.762573242188,478.407897949219,465.254974365234,424.389862060547,364.531005859375,303.310577392578,577.467163085938,577.467163085938,470.854339599609,0,0,0,0,0,0,0,0,0,0,0,0,0
